Nova-based SHA512 compression function iterations
=========================================================
Producing public parameters...
PublicParams::setup, took 5.272849542s 
Number of constraints per step (primary circuit): 78415
Number of constraints per step (secondary circuit): 10347
Number of variables per step (primary circuit): 78331
Number of variables per step (secondary circuit): 10329
Generating a RecursiveSNARK...
RecursiveSNARK::prove_step 0: true, took 583ns 
RecursiveSNARK::prove_step 1: true, took 134.036834ms 
RecursiveSNARK::prove_step 2: true, took 165.593916ms 
RecursiveSNARK::prove_step 3: true, took 160.556458ms 
RecursiveSNARK::prove_step 4: true, took 165.482041ms 
RecursiveSNARK::prove_step 5: true, took 168.83025ms 
RecursiveSNARK::prove_step 6: true, took 173.314875ms 
RecursiveSNARK::prove_step 7: true, took 173.287667ms 
RecursiveSNARK::prove_step 8: true, took 180.714625ms 
RecursiveSNARK::prove_step 9: true, took 180.756292ms 
RecursiveSNARK::prove_step 10: true, took 178.968167ms 
RecursiveSNARK::prove_step 11: true, took 183.989542ms 
RecursiveSNARK::prove_step 12: true, took 181.921834ms 
RecursiveSNARK::prove_step 13: true, took 183.730417ms 
RecursiveSNARK::prove_step 14: true, took 181.862ms 
RecursiveSNARK::prove_step 15: true, took 180.916167ms 
RecursiveSNARK::prove_step 16: true, took 181.002834ms 
RecursiveSNARK::prove_step 17: true, took 179.327667ms 
RecursiveSNARK::prove_step 18: true, took 194.542291ms 
RecursiveSNARK::prove_step 19: true, took 191.578917ms 
RecursiveSNARK::prove_step 20: true, took 191.700084ms 
RecursiveSNARK::prove_step 21: true, took 190.771542ms 
RecursiveSNARK::prove_step 22: true, took 185.006ms 
RecursiveSNARK::prove_step 23: true, took 184.477333ms 
RecursiveSNARK::prove_step 24: true, took 186.117375ms 
RecursiveSNARK::prove_step 25: true, took 184.520958ms 
RecursiveSNARK::prove_step 26: true, took 209.54575ms 
RecursiveSNARK::prove_step 27: true, took 206.990042ms 
RecursiveSNARK::prove_step 28: true, took 204.407958ms 
RecursiveSNARK::prove_step 29: true, took 184.441209ms 
RecursiveSNARK::prove_step 30: true, took 184.463542ms 
RecursiveSNARK::prove_step 31: true, took 184.614875ms 
RecursiveSNARK::prove_step 32: true, took 182.73325ms 
RecursiveSNARK::prove_step 33: true, took 195.162458ms 
RecursiveSNARK::prove_step 34: true, took 185.152ms 
RecursiveSNARK::prove_step 35: true, took 188.300458ms 
RecursiveSNARK::prove_step 36: true, took 198.722042ms 
RecursiveSNARK::prove_step 37: true, took 186.614958ms 
RecursiveSNARK::prove_step 38: true, took 185.943791ms 
RecursiveSNARK::prove_step 39: true, took 182.71725ms 
RecursiveSNARK::prove_step 40: true, took 188.820125ms 
RecursiveSNARK::prove_step 41: true, took 184.099209ms 
RecursiveSNARK::prove_step 42: true, took 185.536791ms 
RecursiveSNARK::prove_step 43: true, took 196.1705ms 
RecursiveSNARK::prove_step 44: true, took 210.834208ms 
